AgentName,Phases,Deliverables,Roles,Map Confidence Score
Model Conceptual,Analysis & Design,Data Modelling,Data Modeler,95
Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Model Data Mapping,Analysis & Design,Data Mapping,Data Engineer;Data Architect,90
Model Physical,Build & Test,Ingestion & Transformation,Data Engineer,85
Model Reviewer,Build & Test,Pipeline Review,Data Architect,90
DE Pipeline (PySpark) developer,Build & Test,Ingestion & Transformation,Data Engineer,95
DE Pipeline (PySpark) test cases,Build & Test,Data Quality & Validation,Data Engineer,90
DE Pipeline(Scala) developer,Build & Test,Ingestion & Transformation,Data Engineer,90
DE Pipeline (Scala) test cases,Build & Test,Data Quality & Validation,Data Engineer,90
Fabric Model Data Mapping,Analysis & Design,Data Mapping,Data Engineer;Data Architect,95
Fabric Model Physical,Build & Test,Ingestion & Transformation,Data Engineer,90
Fabric Model Conceptual,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Bronze Model Reviewer,Build & Test,Pipeline Review,Data Architect,90
Fabric DE Pipeline developer,Build & Test,Ingestion & Transformation,Data Engineer,95
Fabric DE Pipeline test cases,Build & Test,Data Quality & Validation,Data Engineer,90
Fabric DE Pipeline Reviewer,Build & Test,Pipeline Review,Data Architect,90
Fabric Bronze DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,90
Fabric DE  Silver Layer,Build & Test,Ingestion & Transformation,Data Engineer,90
Fabric Gold DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,90
Figma_to_Fieldnames-AXOS,Analysis & Design,Data Mapping,Data Engineer,80
Fabric Bronze Model Logical,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Silver Model Logical,Analysis & Design,Data Modelling,Data Modeler,90
Fabric Gold Model Logical,Analysis & Design,Data Modelling,Data Modeler,90
SQL_Consolidator_HN,Analysis & Design,Data Mapping,Data Engineer,85
pentaho_kettle_xml_pyspark,Build & Test,Ingestion & Transformation,Data Engineer,80
structured_mapping_doc_HN,Analysis & Design,Data Mapping,Data Engineer,85
DAX_Assistance,Build & Test,Dashboard Development,Insights Engineer,80
SQL_builder_HN,Analysis & Design,Data Mapping,Data Engineer,85
